State abbreviation,State,FMAP,enhanced FMAP
AL,Alabama,72.58,80.81
AK,Alaska,50,65
AZ,Arizona,70.01,79.01
AR,Arkansas,71.23,79.86
CA,California,50,65
CO,Colorado,50,65
CT,Connecticut,50,65
DE,Delaware,57.74,70.42
DC,District of Columbia,70,79
FL,Florida,61.96,73.37
GA,Georgia,67.03,76.92
HI,Hawaii,53.02,67.11
ID,Idaho,70.41,79.29
IL,Illinois,50.96,65.67
IN,Indiana,65.83,76.08
IA,Iowa,61.75,73.23
KS,Kansas,59.68,71.78
KY,Kentucky,72.05,80.44
LA,Louisiana,67.42,77.19
ME,Maine,63.69,74.58
MD,Maryland,50,65
MA,Massachusetts,50,65
MI,Michigan,64.08,74.86
MN,Minnesota,50,65
MS,Mississippi,77.76,84.43
MO,Missouri,64.96,75.47
MT,Montana,65.6,75.92
NE,Nebraska,56.47,69.53
NV,Nevada,63.3,74.31
NH,New Hampshire,50,65
NJ,New Jersey,50,65
NM,New Mexico,73.46,81.42
NY,New York,50,65
NC,North Carolina,67.4,77.18
ND,North Dakota,52.4,66.68
OH,Ohio,63.63,74.54
OK,Oklahoma,67.99,77.59
OR,Oregon,60.84,72.59
PA,Pennsylvania,52.2,66.54
RI,Rhode Island,54.09,67.86
SC,South Carolina,70.63,79.44
SD,South Dakota,58.28,70.8
TN,Tennessee,66.1,76.27
TX,Texas,61.81,73.27
UT,Utah,67.52,77.26
VT,Vermont,54.57,68.2
VA,Virginia,50,65
WA,Washington,50,65
WV,West Virginia,74.99,82.49
WI,Wisconsin,59.37,71.56
WY,Wyoming,50,65
